aal;угорь
allmählich;постепенно,мало-помалу
allseitig;всесторонний
alltag;будни,повседневность
alltäglich;будничный,обыденный,заурядный
allwissend;всезнающий
allwöchentlich;еженедельный
allzu;слишком,чересчур
allzusehr;чересчур
allzweck;универсальный
alm;горная вершина
almosen;милостыня
alpdruck;кошмар
alpe;горная вершина
alpen;альпы
alpenrose;рододендрон
alphabet n;алфавит,азбука
alphabetisch;алфавитный
alpin;альпийский,горный
alpinismus m;альпинизм
alpinist m;альпинист
alptraum;кошмар
als;когда,как,чем
als ob;как будто,словно
alsbald;скоро
also;итак,следовательно,значит
alt;старый,прежний,древний
alt m;альт
altan;балкон
altar m;алтарь
alte;старик,старуха
alter;возраст,старость
altern;стареть,стариться
alternativ;сменяющийся
alternative f;альтернатива
alters von  her;издавна
altersversicherung;страхование по старости
altersversorgung;обеспечение по старости
altertum n;древность,древние времена
altertumskunde;археология
altertümer pl;древности,антикварные предметы
altertümlich;старинный,древний
alterung;созревание
altgriechisch;греческий
altklug;не по летам развитый
altmodisch;старомодный
altsprachlich;классический
aluminium;алюминий,алюминиевый
am an dem besten;лучше всего,превосх,ст
am besten;лучше всего
amalgam;смесь
amateur m;любитель,непрофессионал
amazone;мужеподобная женщина
amboß m;наковальня
ambulant;амбулаторный
ameise f;муравей
ameisen;муравьинокислый
ameisennest;муравейник
amerikaner m;американец
amerikanisch;американский
amerikanismus;американизм
amethyst m;аметист
amme;кормилица
ammoniakalisch;аммиачный
amnestie f;амнистия,помилование
amok;вне себя
amoralisch;безнравственный
amortisieren;погашать долг,амортизировать средства
ampel f;светофор
amperesekunde;кулон
amplitude;обилие
ampulle f;ампула
amputieren;удалять
ampère;ампер
amsel f;черный дрозд
amsterdam;амстердам
amt n;должность,пост,учреждение,ведомство
amtieren;исполнять обязанности
amtierend;действующий
amtlich;официальный,служебный,должностной
amtsbefugnis;авторитет
amtsbefugnisse;власти
amtsbezirk;район
amtsführung;управление
amtsstil;чиновничий
amtsverbrechen;должностное преступление
amtswürde;заросший
amüsant;забавный
amüsieren;развлекать,веселить,забавлять
an;на,подле,возле
analog;аналогичный,подобный
analogie f;аналогия
analphabet;неграмотный
analyse f;анализ
analysieren;анализировать
analytisch;аналитический
ananas f;ананас
anarchie;анархия
anarchische;анархический
anarchismus m;анархизм
anarchistin;анархист
anatomie f;анатомия
anatomische;анатомический
anbau m;возделывание,разведение,выращивание
anbauen;возделывать,разводить,выращивать
anbauendes;растущий
anbaufläche;посевная площадь
anbei;закрытый
anbelangen;касаться
anbelangt;вокруг
anberaumen;затруднительное положение
anbeten;обожать
anbetenswert;обожаемый
anbetracht in;принимая во внимание
anbetung;поклонение
anbieten;предлагать,представлять
anbinden;привязывать
anblick m;взгляд,вид,зрелище
anblicken;взглянуть
anbrechen;надламывать,открывать
anbrennen;зажигать,загораться
anbringen;прикреплять,приделывать
anbruch;наступление,начало,дня
anchovis;анчоус
andacht;преданность
andauern;продолжаться
andenken n;память,воспоминание
andere;иной,другой,второй,остальной
anderenfalls;в противном случае
anderer;другой,иной
andernfalls;в противном случае
anders;другой,иной
andersdenkende;сектант
andersgeartet;различный
anderswo;где-нибудь в другом месте
anderthalb;полтора
andeuten;намекать,дать понять
andrang m;напор,наплыв
andrift;побуждение
andringen;настаивать
andächtig;благоговейный
aneigen;присваивать,усваивать
aneignen;присваивать,усваивать,овладевать
aneignung;присвоение
aneinander;друг к другу
anekdote f;анекдот,забавный эпизод
anekeln;внушать чувство брезгливости
anekelnd;противный
aneklen;вызывать отвращение
anerkennbar;допустимый
anerkennen;признавать,ценить
anerkennend;высоко ценящий
anerkennung;признание,одобрение
anfahren;подвозить,наезжать
anfall m;приступ,припадок
anfallen;штурм,наступление
anfang m;начало
anfangen;начинать
anfangend;начальный
anfangs;вначале
anfangs;первоначальный
anfangsbuchstabe;начальная буква,инициалы
anfechtbar;уязвимый,спорный,сомнительный
anfechten;оспаривать,опротестовывать
anfertigen;изготовлять,делать
anfertigend;производство
anfertigung;изготовление,производство
anfeuchten;смачивать,увлажнять
anflehen;умолять
anfordern;требовать,запросить
anfrage f;запрос
anfragen;запрашивать,справляться
anfreunden;подружиться
anfällig;восприимчивый,предрасположенный
anfälligkeit;восприимчивость
anfänger m;новичок,начинающий,дебютант
anfänglich;сначала
anfügen;прикреплять,прибавлять
anführen;возглавлять,цитировать
anführer m;предводитель,вожак,главарь,зачинщик
anführungsstriche pl;кавычки
anfüllen;наполнять
angabe f;сведения,данные
angebaut;расти
angeben;указывать,называть
angeber m;хвастун,воображала
angeblich;мнимый,так называемый,предполагаемый
angeblich adv;будто бы,якобы,как говорят
angeboren;врожденный,природный
angebot;предложение
angebracht;уместный
angefügt;прикомандированный
angehen;обращаться,касаться
angehören;принадлежать
angehörige;родственник,родные
angeklagte;обвиняемый,подсудимый
angeklagter;обвиняемый
angel;петля,удочка
angelegenheit f;дело,вопрос
angelernt;обученный
angelgerät;рыболовные принадлежности
angelhaken m;рыболовный крючок
angelleine;линия
angeln;удить,ловить рыбу
angelschnur;линия
angemessen;соответствующий,подобающий,уместный
angenehm;выражающий согласие,приятный
angenhem;приятный,приличный
angenommen daß;допустим,предположим
anger;луг
angeregt;оживленный,возбужденный
angeschlagenem;шаткий
angeschlossen;действующий совместно
angesehen;уважаемый,авторитетный,видный
angesicht;лицо
angesichts;ввиду,перед лицом
angespannt;напряженный,натянутый
angestellt;применяется
angestellte;служащий
angestrengt;напряженный,усиленный
angewandt;прикладной
angewohnheit;дорога,обычай
angezogen;обтесанный
angina f;ангина
angleichen;равный
angleichung;уподобление
angler m;рыболов
angliedern;присоединять,включать в состав
angorawolle f;ангорская шерсть
angreifbar;уязвимый
angreifen;нападать,атаковать
angreifer m;нападающий,агрессор
angrenzen;граничить,прилегать
angriff m;наступление,нападение,атака
angst f;страх,тревога,беспокойство
angängig;возможный
anhaben;носить,быть одетым во что-л
anhaken;крюк
anhalten;останавливать,задерживать
anhaltepunkt m;основание,для чего-л
anhang m;приложение
anheften;прикреплять,пристегивать
anheuern;устав
anhängen;привешивать
anhänger m;сторонник,последователь,приверженец
anhängerin;последователь
anhäufen;накапливать
anhäufung;накопление
anhören;слушать,выслушивать
anilin;анилин
anissamen;анисовое семя
ankara;анкара
ankauf;приобретение,покупка
anker m;якорь
ankerplatz m;якорная стоянка,рейд
ankerwinde;лебедка
anketten;сажать на цепь,прикреплять цепью
anklage;обвинение
anklagebank;скамья подсудимых
anklagen;обвинять
anklagend;обвинительный
anklagerede;обвинительный акт
anklammern;прикреплять,прищепкой
anklammernd;быстро движущийся
anklang;созвучие
ankleiden;парадный,одевать
ankleideraum;гардероб
ankleidezimmer;уборная,театр
anklingeln;звонить,в дверь
ankläger;обвинитель
anknipsen;включить
anknüpfen;привязывать,начинать
ankommen;прибывать,приходить,приезжать
ankundigen;сообщать
ankunft f;прибытие
ankurbeln;заводить мотор,рукояткой
ankömmling;прибывший,пришелец
ankündigen;объявлять,сообщать,извещать
ankündigung f;объявление,предварительное
anlage;устройство,установка
anlagen;возможности
anlasser;пусковое устройство
anlauf;разбег,разгон
anlaufen;прибегать,заходить
anlaufstrom;большая волна
anlaß;повод,случай
anlegen;прикладывать,причаливать
anlegeplatz;якорная стоянка
anlehnen;прислонять,прислоняться
anleihe;заем,ссуда
anleitung f;руководство,инструкция
anliegen;облегать,фигуру
anliegen;просьба
anliegend;прилегающий,смежный
anlitz;лицо
anlocken;привлекать
anläßlich;по поводу,по случаю
anm;примечание
anmachen;прикреплять,зажигать
anmalen;краска
anmarsch;приближение,наступление
anmaßen;присваивать,брать на себя
anmaßend;высокомерный
anmaßung;надменность
anmelden;записываться,объявлять
anmeldung;прописка,запись на при
anmerken;нота
anmerkung f;примечание,сноска
anmessen;примерять,приспособлять
anmut f;прелесть,грация
anmutig;привлекательный,прелестный
annageln;прибивать гвоздями
annahme f;прием,принятие,предположение
annehmbar;приемлемый,подходящий
annehmen;принимать
annehmlichkeit;любезность,приятность
annektieren;аннексировать,захватывать
annexionskrieg;захватническая война
annonce;объявление
annoncen;рекламирование
annonciere;помещать объявление
annoncierend;рекламирование
annulieren;аннулировать
annulierte;отмененный
annullieren;отменять
annähen;пришивать
annähern;приближать
annähernd;приблизительный
annäherung;приближение
anode f;анод
anomal;аномальный,ненормальный
anomalie f;аномалия
anonym;анонимный
anonymität;анонимность
anorden;приводить в порядок
anordnen;располагать,расставлять по порядку
anordnung f;расположение,предписание,распоряжение
anorganisch;неорганический
anormal;ненормальный
anpacken;хватать
anpassen;подгонять,приводить в соответствие
anpassungsfähigkeit f;приспособляемость
anpeilen;размещать
anpflanzung;насаждение
anprallen;ударяться,наскочить
anpreisen;похвала,хвала
anprobe f;примерка
anrechnen;засчитывать,зачислять
anrechte n;право,права
anrede;обращение
anreden;обращаться
anregen;побуждать,вызывать,стимулировать
anregend;увлекательный,возбуждающий
anregung f;побуждение,инициатива,идея,мысль
anreichern;обогащать
anreicherung;обогащение
anreiz;стимул,импульс
anreizung;стимул
anrichten;приготовлять,причинять
anruf m;звонок,тел,окрик
anrufen;звонить по телефону
anrühren;трогать,прикасаться
ans;обращаться к
ansage;извещение,объявление
ansage f;объявление,дикторский текст
ansager;диктор,конферансье
ansammeln;накапливать
ansammlung;накопление
ansatz;дергать
anschaffen;приобретать,заготовлять
anschaffung;приобретение
anschauen;смотреть на,рассматривать
anschaulich;наглядный,ясный
anschauung;взгляд,воззрение
anschein m;видимость
anscheinend;по-видимому,мнимый
anschießen;ранить,выстрелом,подстрелить
anschießend;ранение
anschlag m;афиша,объявление
anschlagen;прибивать,приколачивать,вывешивать
anschlagzettel;извещение,плакат
anschließen;присоединять,подключать
anschluß m;подключение,присоединение,связь
anschmiegen;прижиматься,жаться,льнуть
anschmieren;пачкать
anschnallen;пристегивать
anschneiden;затронуть тему,поднять вопрос
anschrift;адрес,надпись
anschwellen;опухать,отекать,набухать
anschwellung;припухлость
anschwärzen;очернить,оклеветать
ansehen n;уважение,авторитет,престиж
ansehnlich;видный,представительный,значительный
ansicht f;мнение,открытка с видом
ansiedeln;поселять
ansiedlung;поселение,колония
anspannen;натягивать
anspannung f;напряжение,нагрузка
anspielen;намекать
anspielung f;намек
ansporn m;стимул,импульс,толчок
anspornen;пришпоривать,подгонять
anspornend;ободрительный
ansprache f;речь,краткая,обращение,приветствие
ansprechen;обращаться к,нравиться
ansprechend;привлекательный,приятный,симпатичный
anspruch;претензия,притязание,основа
anspruch m;претензия,требование
anspruchslos;невзыскательный,скромный
anspruchsvoll;чрезмерный,взыскательный,требовательный
anstalt;учреждение,заведение,место
anstand;засада
anstarren;ровня
anstatt;вместо того
anstechen;стоять в очереди
ansteckend;заразный,заразительный
ansteckung;заражение,инфекция
anstehen;очередь
anstellen;приставлять,принимать на работу,делать
anstellig;проворный
anstellung f;прием на работу,должность
anstiften;подстрекать,затевать
anstifter;зачинщик,подстрекатель
anstoß m;удар,толчок,импульс
anstoßen;толкать,подталкивать,вести мяч
anstreichen;окрашивать,красить
anstreicher;маляр,художник
anstrengen;напрягать,утомлять
anstrengend;утомительный,напряженный
anstrengung f;напряжение,усилие,старание
anstrich;окраска
ansturm;натиск,бросаться
anständig;приличный,порядочный
anstößig;возмутительный
ansuchen;просьба,прошение,ходатайств
ansässig;оседлый
antagonist;противник
antarktisch;антарктический
antasten;чувствовать,нащупывать
anteil m;часть,доля,пай
anteilnahme f;участие,интерес
antenne f;антенна
anthologie f;антология
antibiotikum;антибиотик
antichrist;антихрист
antik;античный,старинный
antike;античность
antiklinale;свод
antilope f;антилопа
antipathie f;антипатия,отвращение,неприязнь
antipoden;противоположности
antiquarisch;антикварный,старинный,букинистический
antiquität f;старинная вещь
antiseptisch;обеззараживающий
antithetisch;прямо противоположный
antlitz;лицо,лик
antrag m;предложение,заявление,ходатайство
antragsteller;проситель
antreiben;подгонять,заставлять,торопить
antreiben 2;ободрять,подстрекать,приводить в движение
antreten;начать,приступать
antrieb m;побуждение,стимул
antritt;вступление,начало
antrittsrede;вступительный
antun;повод
antwort f;ответ
antworten;отвечать
anvertrauen;доверить
anwachsen;прирастать,возрастать
anwalt m;адвокат,защитник,поверенный
anweisen;указывать,показывать
anweisend;направление
anweisung f;указание,распоряжение,инструкция
anwendbar;применимый
anwenden;применять,использовать
anwendung;применение
anwendung f;применение,использование
anwerben;нанимать
anwerbung;вербовка
anwesend;присутствующий
anwesenheit;присутствие
anwidern;вызывать отвращение
anwuchs;рост
anwärter m;кандидат,претендент
anzahl f;число,количество
anzahlung f;первый взнос при покупке
anzeichen;предзнаменование,предчувствие,указание
anzeige f;объявление,извещение,заявление
anzeigen;объявлять,извещать,заявлять
anzeiger m;бюллетень,индикатор
anziehen;надевать,одевать
anziehend;привлекательный,заманчивый
anziehung;привлекательность
anziehungskraft f;сила притяжения,привлекательность
anzug m;костюм,мужской
anzüglich;оскорбительный
anzünden;зажигать
anämie f;малокровие,анемия
ap;пить,аперитив
apartment;квартира
apathie f;апатия,безразличие
apathisch;апатичный
apatit m;апатит
aperitif;закуска,аперитив
apetit;аппетит
apfel m;яблоко
apfelsine f;апельсин
aphasie;потеря речи
aphorismus m;афоризм
aphrodisiakum;сладострастный
aplomb;отвесное положение
apokalypse;пророческое предвидение
apostel;поборник
apostolisch;папский
apostroph m;апостроф
